rank,model,org,reasoning,avg_score,green_rate,red_rate,score_2,score_1,score_0,nonsense_count,error_count,model_base,launch_date,model_age_days,launch_evidence_url
1,anthropic/claude-opus-4.5@reasoning=high,anthropic,high,1.9067,0.94,0.015,188,9,3,200,0,anthropic/claude-opus-4.5,2025-11-24,103,https://www.anthropic.com/news/claude-opus-4-5
2,anthropic/claude-sonnet-4.6@reasoning=high,anthropic,high,1.905,0.93,0.02,186,10,4,200,0,anthropic/claude-sonnet-4.6,2026-02-17,18,https://www.anthropic.com/news/claude-sonnet-4-6
3,anthropic/claude-sonnet-4.6@reasoning=none,anthropic,none,1.905,0.925,0.015,185,12,3,200,0,anthropic/claude-sonnet-4.6,2026-02-17,18,https://www.anthropic.com/news/claude-sonnet-4-6
4,anthropic/claude-opus-4.6@reasoning=high,anthropic,high,1.9033,0.925,0.02,185,11,4,200,0,anthropic/claude-opus-4.6,2026-02-05,30,https://www.anthropic.com/news/claude-opus-4-6
5,anthropic/claude-opus-4.6@reasoning=none,anthropic,none,1.8867,0.91,0.02,182,14,4,200,0,anthropic/claude-opus-4.6,2026-02-05,30,https://www.anthropic.com/news/claude-opus-4-6
6,anthropic/claude-opus-4.5@reasoning=none,anthropic,none,1.82,0.885,0.06,177,11,12,200,0,anthropic/claude-opus-4.5,2025-11-24,103,https://www.anthropic.com/news/claude-opus-4-5
7,anthropic/claude-sonnet-4.5@reasoning=high,anthropic,high,1.7783,0.84,0.045,168,23,9,200,0,anthropic/claude-sonnet-4.5,2025-09-29,159,https://www.anthropic.com/news/claude-sonnet-4-5
8,anthropic/claude-haiku-4.5@reasoning=none,anthropic,none,1.7733,0.825,0.05,165,25,10,200,0,anthropic/claude-haiku-4.5,2025-10-15,143,https://www.anthropic.com/news/claude-haiku-4-5
9,anthropic/claude-haiku-4.5@reasoning=high,anthropic,high,1.76,0.83,0.06,166,22,12,200,0,anthropic/claude-haiku-4.5,2025-10-15,143,https://www.anthropic.com/news/claude-haiku-4-5
10,anthropic/claude-sonnet-4.5@reasoning=none,anthropic,none,1.75,0.83,0.07,166,20,14,200,0,anthropic/claude-sonnet-4.5,2025-09-29,159,https://www.anthropic.com/news/claude-sonnet-4-5
11,qwen/qwen3.5-397b-a17b@reasoning=high,qwen,high,1.7033,0.78,0.05,78,17,5,100,100,qwen/qwen3.5-397b-a17b,2026-02-17,18,https://www.alibabacloud.com/blog/602894
12,moonshotai/kimi-k2.5@reasoning=none,moonshotai,none,1.5583,0.71,0.145,142,29,29,200,0,moonshotai/kimi-k2.5,2026-01-27,39,https://www.kimi.com/ai-models/kimi-k2-5
13,qwen/qwen3.5-397b-a17b@reasoning=none,qwen,none,1.5267,0.69,0.15,69,16,15,100,100,qwen/qwen3.5-397b-a17b,2026-02-17,18,https://www.alibabacloud.com/blog/602894
14,google/gemini-3-pro-preview@reasoning=low,google,low,1.4783,0.665,0.195,133,28,39,200,0,google/gemini-3-pro-preview,2025-11-18,109,https://ai.google.dev/gemini-api/docs/changelog
15,google/gemini-3.1-pro-preview@reasoning=low,google,low,1.4733,0.64,0.16,128,40,32,200,0,google/gemini-3.1-pro-preview,2026-02-19,16,https://ai.google.dev/gemini-api/docs/changelog
16,openai/gpt-5.4@reasoning=none,openai,none,1.46,0.585,0.09,117,65,18,200,0,openai/gpt-5.4,,,
17,google/gemini-3-pro-preview@reasoning=high,google,high,1.3917,0.615,0.22,123,33,44,200,0,google/gemini-3-pro-preview,2025-11-18,109,https://ai.google.dev/gemini-api/docs/changelog
18,openai/gpt-5.4@reasoning=xhigh,openai,xhigh,1.3892,0.5178,0.1015,102,75,20,197,3,openai/gpt-5.4,,,
19,anthropic/claude-3.5-sonnet@reasoning=default,anthropic,default,1.3867,0.615,0.215,123,34,43,200,0,anthropic/claude-3.5-sonnet,2024-06-21,624,https://www.anthropic.com/news/claude-3-5-sonnet
20,anthropic/claude-3.7-sonnet:thinking@reasoning=default,anthropic,default,1.3717,0.58,0.205,116,43,41,200,0,anthropic/claude-3.7-sonnet:thinking,2025-02-24,376,https://www.anthropic.com/news/claude-3-7-sonnet
21,openai/gpt-5.2-codex@reasoning=low,openai,low,1.3633,0.56,0.185,112,51,37,200,0,openai/gpt-5.2-codex,2025-12-18,79,https://openai.com/index/introducing-gpt-5-2-codex/
22,anthropic/claude-opus-4.1@reasoning=none,anthropic,none,1.3567,0.525,0.16,105,63,32,200,0,anthropic/claude-opus-4.1,2025-08-05,214,https://www.anthropic.com/news/claude-opus-4-1
23,anthropic/claude-3.7-sonnet@reasoning=default,anthropic,default,1.3533,0.58,0.215,116,41,43,200,0,anthropic/claude-3.7-sonnet,2025-02-24,376,https://www.anthropic.com/news/claude-3-7-sonnet
24,anthropic/claude-opus-4.1@reasoning=high,anthropic,high,1.3433,0.52,0.17,104,62,34,200,0,anthropic/claude-opus-4.1,2025-08-05,214,https://www.anthropic.com/news/claude-opus-4-1
25,openai/gpt-5.1-chat@reasoning=default,openai,default,1.3417,0.58,0.22,116,40,44,200,0,openai/gpt-5.1-chat,2025-11-13,114,https://developers.openai.com/api/docs/changelog
26,openai/gpt-5.2-codex@reasoning=xhigh,openai,xhigh,1.3333,0.545,0.185,109,54,37,200,0,openai/gpt-5.2-codex,2025-12-18,79,https://openai.com/index/introducing-gpt-5-2-codex/
27,google/gemini-3.1-pro-preview@reasoning=high,google,high,1.3183,0.545,0.235,109,44,47,200,0,google/gemini-3.1-pro-preview,2026-02-19,16,https://ai.google.dev/gemini-api/docs/changelog
28,openai/gpt-5.2-codex@reasoning=high,openai,high,1.2967,0.52,0.205,104,55,41,200,0,openai/gpt-5.2-codex,2025-12-18,79,https://openai.com/index/introducing-gpt-5-2-codex/
29,moonshotai/kimi-k2.5@reasoning=high,moonshotai,high,1.2967,0.495,0.19,99,63,38,200,0,moonshotai/kimi-k2.5,2026-01-27,39,https://www.kimi.com/ai-models/kimi-k2-5
30,openai/gpt-5.2@reasoning=none,openai,none,1.295,0.445,0.125,89,86,25,200,0,openai/gpt-5.2,2025-12-11,86,https://developers.openai.com/api/docs/changelog
31,anthropic/claude-opus-4@reasoning=default,anthropic,default,1.245,0.445,0.175,89,76,35,200,0,anthropic/claude-opus-4,2025-05-22,289,https://www.anthropic.com/news/claude-4
32,anthropic/claude-sonnet-4@reasoning=none,anthropic,none,1.235,0.475,0.24,95,57,48,200,0,anthropic/claude-sonnet-4,2025-05-22,289,https://www.anthropic.com/news/claude-4
33,anthropic/claude-sonnet-4@reasoning=high,anthropic,high,1.2067,0.475,0.26,95,53,52,200,0,anthropic/claude-sonnet-4,2025-05-22,289,https://www.anthropic.com/news/claude-4
34,anthropic/claude-3.5-haiku@reasoning=default,anthropic,default,1.1733,0.515,0.32,103,33,64,200,0,anthropic/claude-3.5-haiku,2024-10-22,501,https://www.anthropic.com/news/3-5-models-and-computer-use
35,openai/gpt-5.2@reasoning=high,openai,high,1.17,0.33,0.14,66,106,28,200,0,openai/gpt-5.2,2025-12-11,86,https://developers.openai.com/api/docs/changelog
36,openai/gpt-5-codex@reasoning=default,openai,default,1.1583,0.435,0.26,87,61,52,200,0,openai/gpt-5-codex,2025-09-15,173,https://openai.com/index/introducing-upgrades-to-codex/
37,openai/gpt-5.1@reasoning=default,openai,default,1.1483,0.38,0.2,76,84,40,200,0,openai/gpt-5.1,2025-11-13,114,https://developers.openai.com/api/docs/changelog
38,openai/gpt-5@reasoning=default,openai,default,1.065,0.315,0.24,63,89,48,200,0,openai/gpt-5,2025-08-07,212,https://developers.openai.com/api/docs/changelog
39,openai/gpt-5.3-chat@reasoning=default,openai,default,1.06,0.4,0.31,40,29,31,100,0,openai/gpt-5.3-chat,2026-03-04,3,https://openrouter.ai/openai/gpt-5.3-chat
40,openai/gpt-5.1-codex@reasoning=default,openai,default,1.0317,0.395,0.34,79,53,68,200,0,openai/gpt-5.1-codex,2025-11-13,114,https://developers.openai.com/api/docs/changelog
41,openai/gpt-5.3-codex@reasoning=low,openai,low,1.02,0.295,0.255,59,90,51,200,0,openai/gpt-5.3-codex,2026-02-05,30,https://openai.com/index/introducing-gpt-5-3-codex/
42,openai/gpt-5.3-codex@reasoning=high,openai,high,0.925,0.255,0.305,51,88,61,200,0,openai/gpt-5.3-codex,2026-02-05,30,https://openai.com/index/introducing-gpt-5-3-codex/
43,openai/o3@reasoning=default,openai,default,0.9233,0.33,0.4,66,54,80,200,0,openai/o3,2025-04-16,325,https://developers.openai.com/api/docs/changelog
44,openai/gpt-5.3-codex@reasoning=xhigh,openai,xhigh,0.9133,0.255,0.335,51,82,67,200,0,openai/gpt-5.3-codex,2026-02-05,30,https://openai.com/index/introducing-gpt-5-3-codex/
45,google/gemini-2.5-pro@reasoning=default,google,default,0.8833,0.31,0.415,62,55,83,200,0,google/gemini-2.5-pro,2025-06-17,263,https://ai.google.dev/gemini-api/docs/changelog
46,openai/gpt-5.2-chat@reasoning=default,openai,default,0.83,0.27,0.4,27,33,40,100,0,openai/gpt-5.2-chat,2025-12-10,87,https://openai.com/index/introducing-gpt-5-2/
47,google/gemini-3-flash-preview@reasoning=high,google,high,0.8233,0.245,0.43,49,65,86,200,0,google/gemini-3-flash-preview,2025-12-17,80,https://ai.google.dev/gemini-api/docs/changelog
48,bytedance-seed/seed-1.6@reasoning=none,bytedance-seed,none,0.7883,0.22,0.42,44,72,84,200,0,bytedance-seed/seed-1.6,2025-06-25,255,https://seed.bytedance.com/zh/blog/seed1-6-%E7%B3%BB%E5%88%97%E6%A8%A1%E5%9E%8B%E6%8A%80%E6%9C%AF%E4%BB%8B%E7%BB%8D
49,deepseek/deepseek-v3.2@reasoning=high,deepseek,high,0.77,0.235,0.45,47,63,90,200,0,deepseek/deepseek-v3.2,2025-12-01,96,https://api-docs.deepseek.com/news/news251201
50,google/gemini-2.5-flash@reasoning=default,google,default,0.755,0.23,0.485,46,57,97,200,0,google/gemini-2.5-flash,2025-06-17,263,https://ai.google.dev/gemini-api/docs/changelog
51,openai/gpt-5-chat@reasoning=default,openai,default,0.7533,0.2,0.435,40,73,87,200,0,openai/gpt-5-chat,2025-08-07,212,https://openai.com/index/introducing-gpt-5-for-developers/
52,bytedance-seed/seed-1.6@reasoning=high,bytedance-seed,high,0.7333,0.18,0.42,36,80,84,200,0,bytedance-seed/seed-1.6,2025-06-25,255,https://seed.bytedance.com/zh/blog/seed1-6-%E7%B3%BB%E5%88%97%E6%A8%A1%E5%9E%8B%E6%8A%80%E6%9C%AF%E4%BB%8B%E7%BB%8D
53,z-ai/glm-5@reasoning=high,z-ai,high,0.7294,0.2772,0.5248,28,20,53,101,99,z-ai/glm-5,2026-02-12,23,https://docs.z.ai/release-notes/new-released
54,google/gemini-3-flash-preview@reasoning=none,google,none,0.7283,0.22,0.48,44,60,96,200,0,google/gemini-3-flash-preview,2025-12-17,80,https://ai.google.dev/gemini-api/docs/changelog
55,google/gemini-2.0-flash-001@reasoning=default,google,default,0.7,0.18,0.475,36,69,95,200,0,google/gemini-2.0-flash-001,2025-02-05,395,https://ai.google.dev/gemini-api/docs/changelog
56,minimax/minimax-m2.5@reasoning=low,minimax,low,0.6767,0.15,0.46,30,78,92,200,0,minimax/minimax-m2.5,2026-02-12,23,https://www.minimaxi.com/news/minimax-m25
57,minimax/minimax-m2.5@reasoning=high,minimax,high,0.6617,0.17,0.495,34,67,99,200,0,minimax/minimax-m2.5,2026-02-12,23,https://www.minimaxi.com/news/minimax-m25
58,openai/gpt-oss-120b@reasoning=low,openai,low,0.6583,0.19,0.51,38,60,102,200,0,openai/gpt-oss-120b,2025-08-05,214,https://openai.com/index/introducing-gpt-oss/
59,openai/gpt-4o-2024-08-06@reasoning=default,openai,default,0.6467,0.13,0.475,26,79,95,200,0,openai/gpt-4o-2024-08-06,2024-08-06,578,https://developers.openai.com/api/docs/changelog
60,deepseek/deepseek-v3.2@reasoning=none,deepseek,none,0.6233,0.165,0.535,33,60,107,200,0,deepseek/deepseek-v3.2,2025-12-01,96,https://api-docs.deepseek.com/news/news251201
61,openai/gpt-4.1@reasoning=default,openai,default,0.6217,0.17,0.53,34,60,106,200,0,openai/gpt-4.1,2025-04-14,327,https://developers.openai.com/api/docs/changelog
62,openai/gpt-oss-120b@reasoning=high,openai,high,0.6133,0.135,0.505,27,72,101,200,0,openai/gpt-oss-120b,2025-08-05,214,https://openai.com/index/introducing-gpt-oss/
63,z-ai/glm-5@reasoning=none,z-ai,none,0.5867,0.2,0.58,20,22,58,100,100,z-ai/glm-5,2026-02-12,23,https://docs.z.ai/release-notes/new-released
64,x-ai/grok-4.1-fast@reasoning=high,x-ai,high,0.5767,0.19,0.59,19,22,59,100,100,x-ai/grok-4.1-fast,2025-11-19,108,https://x.ai/news/grok-4-1-fast
65,xiaomi/mimo-v2-flash@reasoning=none,xiaomi,none,0.55,0.16,0.56,16,28,56,100,100,xiaomi/mimo-v2-flash,2025-12-16,81,https://mimo.xiaomi.com/blog/mimo-v2-flash
66,baidu/ernie-4.5-300b-a47b@reasoning=default,baidu,default,0.4783,0.095,0.6,19,61,120,200,0,baidu/ernie-4.5-300b-a47b,2025-06-30,250,https://ernie.baidu.com/blog/posts/ernie4.5/
67,mistralai/mistral-large-2512@reasoning=default,mistralai,default,0.4117,0.055,0.645,11,60,129,200,0,mistralai/mistral-large-2512,2025-12-02,95,https://docs.mistral.ai/getting-started/changelog/
68,openai/o4-mini@reasoning=high,openai,high,0.4035,0.0724,0.6447,11,43,98,152,48,openai/o4-mini,2025-04-16,325,https://developers.openai.com/api/docs/changelog
69,google/gemini-3.1-flash-lite-preview@reasoning=default,google,default,0.4033,0.11,0.74,11,15,74,100,0,google/gemini-3.1-flash-lite-preview,2026-03-04,3,https://openrouter.ai/google/gemini-3.1-flash-lite-preview
70,xiaomi/mimo-v2-flash@reasoning=high,xiaomi,high,0.3967,0.13,0.72,13,15,72,100,100,xiaomi/mimo-v2-flash,2025-12-16,81,https://mimo.xiaomi.com/blog/mimo-v2-flash
71,anthropic/claude-3-haiku@reasoning=default,anthropic,default,0.3517,0.085,0.73,17,37,146,200,0,anthropic/claude-3-haiku,2024-03-13,724,https://www.anthropic.com/news/claude-3-haiku
72,openai/gpt-4o-mini-2024-07-18@reasoning=default,openai,default,0.3283,0.025,0.695,5,56,139,200,0,openai/gpt-4o-mini-2024-07-18,2024-07-18,597,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
73,x-ai/grok-4.1-fast@reasoning=none,x-ai,none,0.3,0.1,0.8,10,10,80,100,100,x-ai/grok-4.1-fast,2025-11-19,108,https://x.ai/news/grok-4-1-fast
74,openai/o4-mini@reasoning=low,openai,low,0.2767,0.08,0.79,8,13,79,100,100,openai/o4-mini,2025-04-16,325,https://developers.openai.com/api/docs/changelog
75,prime-intellect/intellect-3@reasoning=low,prime-intellect,low,0.23,0.07,0.82,7,11,82,100,100,prime-intellect/intellect-3,2025-11-26,101,https://www.primeintellect.ai/blog/launching-intellect-3
76,prime-intellect/intellect-3@reasoning=high,prime-intellect,high,0.19,0.05,0.85,5,10,85,100,100,prime-intellect/intellect-3,2025-11-26,101,https://www.primeintellect.ai/blog/launching-intellect-3
77,google/gemma-3-27b-it@reasoning=default,google,default,0.1883,0.025,0.835,5,28,167,200,0,google/gemma-3-27b-it,2025-03-12,360,https://ai.google.dev/gemini-api/docs/changelog
